##################################################
# Model Blast-Wave                          #
# - rapidity range         :        4 [units]    #
# - spatial rapidity range :        8 [units]    #
# - max cylinder size      :     8.21 [fm]       #
# - Blast-Wave time        :     8.17 [fm]       #
# - transverse velocity    :    0.341 [c]        #
# - freeze-out temperature :    165.6 [MeV]      #
# - chem. potential Mu_B   :     28.5 [MeV]      #
# - chem. potential Mu_I3  :     -0.9 [MeV]      #
# - chem. potential Mu_S   :      6.9 [MeV]      #
# - chem. potential Mu_C   :        0 [MeV]      #
# Parameters hash (CRC32)  : AAA1E9AE            #
# Integration samples      :  5000000            #
# Random seed              :      yes            #
# Generation date          : 2021-04-02 17:43:47 #
##################################################

# Particle name	Max integrand	Multiplicity
Ka1400min	0.0207223	5.10862
Sg1385min	0.0348461	8.74578
Sg1385mnb	0.0262819	6.62785
Sg1385zer	0.0351256	8.86267
Sg1385zrb	0.0275185	6.82297
Sg1385plu	0.0357181	8.7867
Sg1385plb	0.0273391	6.90733
f01370zer	0.0089956	2.30881
Xi1321min	0.0224486	5.81284
Xi1321mnb	0.0184221	4.86123
Xi1321zer	0.0228839	5.9502
Xi1321zrb	0.0192548	5.01948
a21320plu	0.051245	13.4848
a21320min	0.0529921	13.5884
a21320zer	0.0526803	13.5361
pi1300plu	0.0110009	2.97318
pi1300min	0.0113773	2.97437
pi1300zer	0.0110617	2.9784
et1295zer	0.0113324	3.0206
f11285zer	0.0366115	9.76276
f21270zer	0.063068	16.8351
Ka1270zer	0.0391468	10.6551
Ka1270zrb	0.0361174	9.69658
Ka1270plu	0.0389671	10.615
Ka1270min	0.0362587	9.83557
Dl1232plp	0.0704494	19.6437
Dl1232plu	0.0719931	19.7767
Dl1232zer	0.0719701	19.891
Dl1232min	0.072092	20.0128
Dl1232ppb	0.0516345	14.1731
Dl1232plb	0.0496856	14.102
Dl1232zrb	0.0510141	13.9838
Dl1232mnb	0.0499981	13.9242
a11260plu	0.0439423	12.5488
a11260min	0.0459451	12.6556
a11260zer	0.0453604	12.6289
b11235plu	0.0458704	12.5879
b11235zer	0.0459461	12.6721
b11235min	0.0455921	12.7552
Sg1189min	0.0396182	11.3578
Sg1189mnb	0.0302756	8.69184
Sg1192zer	0.0404123	11.5164
Sg1192zrb	0.0312212	8.90557
Sg1189plu	0.0406288	11.7346
Sg1189plb	0.0315478	9.11927
h11170zer	0.0586137	16.9913
Lm1115zer	0.056237	16.9839
Lm1115zrb	0.0424577	13.0213
ph1020zer	0.108675	35.7174
a00980plu	0.0416388	13.9297
a00980min	0.0421826	14.0384
a00980zer	0.0416761	14.0244
f00980zer	0.0424234	14.3199
eta0prime	0.0468747	15.9031
ne0939zer	0.119085	41.3088
ne0939zrb	0.0824682	29.0672
pr0938plu	0.11817	41.4224
pr0938plb	0.0849305	29.5673
Ka0892zer	0.18447	66.5811
Ka0892zrb	0.169453	61.3968
Ka0892plu	0.183324	68.1347
Ka0892min	0.172726	62.9712
om0782zer	0.271801	108.24
